rank,country,score
1,Denmark,100.00
2,USA,99.81
3,Sweden,99.81
4,Singapore,99.48
5,Switzerland,98.23
6,Netherlands,97.85
7,Finland,96.60
8,South Korea,95.20
9,Hong Kong,94.36
10,Canada,94.15
11,Taiwan,94.11
12,Norway,93.23
13,UAE,91.42
14,Australia,87.89
15,Israel,87.37
16,United Kingdom,86.45
17,China,86.42
18,Austria,85.35
19,Germany,85.17
20,Estonia,85.06
21,Iceland,84.97
22,France,81.42
23,Belgium,81.34
24,Ireland,79.56
25,Lithuania,79.32
26,Qatar,78.37
27,New Zealand,77.44
28,Spain,77.40
29,Japan,76.84
30,Luxembourg,76.47
31,Malaysia,76.42
32,Bahrain,75.85
33,Czech Republic,75.54
34,Latvia,74.24
35,Saudi Arabia,73.87
36,Kazakhstan,73.03
37,Slovenia,71.45
38,Portugal,70.84
39,Italy,68.33
40,Thailand,68.19
41,Chile,66.23
42,Hungary,65.25
43,Croatia,64.58
44,India,63.93
45,Cyprus,63.67
46,Poland,63.09
47,Slovak Republic,59.64
48,Bulgaria,58.51
49,Romania,58.32
50,Greece,56.93
51,Indonesia,56.74
52,Brazil,56.14
53,Jordan,56.04
54,Turkey,55.02
55,Mexico,54.72
56,Philippines,52.81
57,Peru,52.06
58,South Africa,51.24
59,Argentina,50.22
60,Colombia,49.22
61,Botswana,48.25
62,Mongolia,45.25
63,Venezuela,27.00
