Country,CollectibleCardGame
United States,2.7857142857142856
Germany,7.0
Japan,7.222222222222222
France,8.3
China,9.5
Russian Federation,9.818181818181818
Canada,10.545454545454545
United Kingdom,12.11111111111111
Brazil,12.777777777777779
Poland,13.375
"Korea, Republic of",14.555555555555555
Czech Republic,14.857142857142858
Morocco,15.0
Spain,15.666666666666666
Italy,15.7
"Moldova, Republic of",16.0
El Salvador,16.0
Sweden,16.88888888888889
New Caledonia,17.0
"Taiwan, Republic of China",17.166666666666668
Portugal,18.0
Ukraine,19.0
Finland,19.375
Netherlands,19.375
Hong Kong,19.4
Australia,20.0
Bahamas,20.0
Denmark,20.25
Kazakhstan,21.0
Greece,21.0
Romania,21.0
Austria,21.25
Chile,22.142857142857142
Belgium,22.2
Norway,22.2
Turkey,22.75
Argentina,23.0
Singapore,23.5
Philippines,24.6
Thailand,25.833333333333332
Hungary,26.0
United Arab Emirates,26.0
Slovakia,27.0
Ireland,27.5
Belarus,27.75
Mexico,27.833333333333332
Israel,28.8
Lithuania,29.0
Bolivia,29.0
--UNDEFINED--,29.333333333333332
Peru,30.0
Macao,30.0
Malaysia,30.166666666666668
Switzerland,31.0
Indonesia,31.8
New Zealand,32.0
"Tanzania, United Republic of",32.0
Viet Nam,32.4
Colombia,32.5
Bulgaria,32.5
"Palestine, State of",33.0
Guatemala,33.0
Egypt,33.5
South Africa,33.75
Serbia,34.0
Estonia,34.0
Slovenia,34.75
Iraq,35.0
Uzbekistan,36.0
Luxembourg,36.5
Saudi Arabia,37.0
Uruguay,38.8
Croatia,39.0
Lebanon,39.0
India,43.0
Tunisia,43.5
Costa Rica,46.0
Latvia,48.0
Azerbaijan,52.5
Jordan,54.0
Algeria,55.0
Iceland,59.0
Bahrain,62.0
Syrian Arab Republic,64.0
Honduras,69.0
Cuba,70.0
Mauritania,71.0
Venezuela,72.0
Madagascar,73.0
Bosnia and Herzegovina,74.0
Cyprus,75.0
Kuwait,76.0
Kyrgyzstan,78.0
"Iran, Islamic Republic of",79.0
