Country,RPG
Germany,2.5
"Korea, Republic of",2.6666666666666665
United States,2.875
Poland,3.0
Japan,3.5
Viet Nam,4.0
Philippines,4.0
France,4.666666666666667
Thailand,5.0
India,5.0
Sweden,5.8
United Kingdom,6.0
Jamaica,6.0
Australia,6.0
Canada,6.25
Malaysia,7.0
New Zealand,7.0
Slovenia,7.0
China,7.5
Finland,8.0
Slovakia,8.5
Russian Federation,9.0
Denmark,9.0
Spain,9.666666666666666
Lithuania,10.0
Italy,11.0
"Taiwan, Republic of China",13.0
Switzerland,13.0
Netherlands,13.666666666666666
Israel,15.0
Austria,15.333333333333334
Saudi Arabia,16.0
Norway,17.0
Belgium,18.0
Morocco,19.0
Romania,20.0
Croatia,21.0
Belarus,23.0
Brazil,24.0
Hungary,24.5
Mexico,25.0
Bulgaria,28.0
Guatemala,29.0
Chile,30.0
Czech Republic,32.0
Iceland,33.0
--UNDEFINED--,34.0
Ukraine,35.0
