Country,Racing
United Kingdom,3.3214285714285716
Germany,3.7435897435897436
--UNDEFINED--,4.0
France,4.612903225806452
United States,4.6923076923076925
Netherlands,4.8125
Finland,7.76
Poland,7.818181818181818
Canada,8.866666666666667
Italy,9.2
"Korea, Republic of",9.285714285714286
Australia,9.533333333333333
Denmark,9.75
Spain,10.0
Cuba,10.0
Sweden,10.68421052631579
Czech Republic,11.1875
Japan,11.5
China,12.0
Brazil,12.666666666666666
Belgium,12.928571428571429
Hungary,13.066666666666666
Mexico,13.4
Russian Federation,13.6
"Iran, Islamic Republic of",14.0
Austria,14.214285714285714
"Taiwan, Republic of China",14.75
Norway,15.833333333333334
Switzerland,16.333333333333332
Slovenia,17.125
Estonia,17.692307692307693
Turkey,18.0
Slovakia,18.076923076923077
Portugal,18.3
Greece,18.75
Macao,19.0
North Macedonia,19.166666666666668
Croatia,19.416666666666668
Thailand,19.5
Argentina,19.714285714285715
Singapore,20.77777777777778
Ireland,21.09090909090909
Lithuania,23.25
Indonesia,24.0
New Zealand,24.0
Hong Kong,24.0
Chile,24.375
Mongolia,25.0
Romania,26.0
Morocco,26.0
Philippines,26.0
Colombia,27.333333333333332
South Africa,28.0
Albania,30.0
Venezuela,30.0
Bulgaria,30.2
Belarus,31.0
Latvia,31.333333333333332
Ukraine,31.666666666666668
Malta,32.0
Liechtenstein,33.0
Monaco,33.5
Malaysia,33.833333333333336
Kazakhstan,34.0
Georgia,34.0
India,34.666666666666664
Serbia,35.4
Lebanon,37.0
Viet Nam,38.0
Algeria,39.0
Isle of Man,39.0
Luxembourg,39.333333333333336
Puerto Rico,42.0
Dominican Republic,42.0
Israel,42.0
Jamaica,45.0
Peru,45.0
Uruguay,47.0
Andorra,49.0
United Arab Emirates,49.0
"Virgin Islands, U.S.",50.0
